time,num,unit
2026-09-03T17:00:19.324324,798.26,度
2026-09-03T17:40:11.773581,797.29,度
2026-09-03T17:53:13.879019,797.29,度
2026-09-12T00:50:34.995830,702.39,度
2026-09-12T13:15:14.599981,698.83,度
2026-09-12T19:23:34.608799,696.2,度
2026-09-12T23:57:28.190863,695.0,度
2026-09-13T13:30:37.704636,690.58,度
2026-09-13T20:27:14.584412,685.79,度
2026-09-14T00:45:40.792831,684.34,度
2026-09-14T13:34:42.930491,680.28,度
2026-09-14T21:30:11.942785,677.53,度
2026-09-15T13:35:14.485611,669.84,度
2026-09-15T20:21:38.648502,665.82,度
2026-09-16T01:24:39.145136,662.6,度
2026-09-16T13:27:41.644448,658.53,度
2026-09-16T20:20:50.979104,653.35,度
2026-09-17T01:24:31.347217,651.43,度
2026-09-17T13:37:34.907931,646.55,度
2026-09-17T20:19:53.307139,644.1,度
2026-09-18T01:23:25.398463,639.75,度
2026-09-18T13:24:10.235331,637.66,度
2026-09-18T20:00:00.164941,632.31,度
2026-09-19T00:48:46.494268,627.87,度
2026-09-19T13:16:08.997755,624.24,度
2026-09-19T19:45:31.533994,618.91,度
2026-09-20T00:11:06.585786,615.49,度
2026-09-20T13:33:08.019492,612.22,度
2026-09-20T19:56:00.756380,609.0,度
2026-09-21T00:38:16.871870,606.09,度
2026-09-21T13:38:45.179209,602.14,度
2026-09-21T21:30:28.353081,598.34,度
